Date,Close/Last,Volume,Open,High,Low
5/6/2019,$44.96 ,42217800,$43.88 ,$45.09 ,$43.50 
5/3/2019,$45.75 ,33682348,$45.88 ,$45.98 ,$45.13 
5/2/2019,$45.80 ,39468540,$45.22 ,$46.22 ,$44.78 
5/1/2019,$45.12 ,35428124,$45.78 ,$46.20 ,$45.12 
4/30/2019,$45.25 ,36160960,$44.51 ,$45.51 ,$44.32 
4/29/2019,$44.83 ,39102276,$44.60 ,$45.11 ,$43.88 
4/26/2019,$44.52 ,86841240,$45.18 ,$45.22 ,$43.33 
4/25/2019,$46.73 ,49129880,$47.39 ,$47.61 ,$45.93 
4/24/2019,$47.79 ,30927444,$47.77 ,$48.20 ,$47.16 
4/23/2019,$47.67 ,33111560,$47.25 ,$47.98 ,$47.15 
4/22/2019,$47.12 ,27932344,$46.34 ,$47.28 ,$46.02 
4/18/2019,$46.58 ,35134452,$46.89 ,$47.23 ,$46.30 
4/17/2019,$46.82 ,31573800,$47.41 ,$47.62 ,$46.60 
4/16/2019,$47.05 ,39425128,$46.57 ,$47.24 ,$46.24 
4/15/2019,$46.18 ,43949600,$47.43 ,$47.48 ,$45.78 
4/12/2019,$47.50 ,47125480,$48.28 ,$48.32 ,$47.42 
4/11/2019,$47.89 ,37386660,$48.05 ,$48.37 ,$47.39 
4/10/2019,$48.03 ,44029320,$47.31 ,$48.29 ,$47.26 
4/9/2019,$47.32 ,43634680,$47.61 ,$47.72 ,$46.89 
4/8/2019,$47.95 ,42347440,$47.43 ,$48.20 ,$47.19 
4/5/2019,$47.74 ,48097200,$47.50 ,$47.91 ,$47.13 
4/4/2019,$47.07 ,45250680,$47 ,$47.49 ,$46.43 
4/3/2019,$47.16 ,78325560,$46.25 ,$47.75 ,$46.20 
4/2/2019,$45.75 ,43928840,$45.81 ,$46.20 ,$45.38 
4/1/2019,$45.57 ,48044400,$45.82 ,$45.88 ,$45.09 
3/29/2019,$44.89 ,45628080,$44.99 ,$45.14 ,$44.48 
3/28/2019,$44.31 ,45077560,$44.39 ,$44.98 ,$43.78 
3/27/2019,$44.13 ,47332880,$44.48 ,$44.94 ,$43.43 
3/26/2019,$44.22 ,69976480,$44.87 ,$45.44 ,$43.65 
3/25/2019,$43.45 ,52334400,$43.97 ,$44.61 ,$42.78 
3/22/2019,$44.38 ,74602480,$45.71 ,$46.20 ,$44.24 
3/21/2019,$45.99 ,82166960,$43.83 ,$46.25 ,$43.78 
3/20/2019,$43.60 ,71650440,$44.22 ,$44.76 ,$43.25 
3/19/2019,$43.93 ,84957840,$43.19 ,$44.38 ,$43.02 
3/18/2019,$42.24 ,48363800,$42.77 ,$43.31 ,$41.96 
3/15/2019,$42.45 ,66020080,$41.83 ,$42.88 ,$41.79 
3/14/2019,$41.39 ,51851240,$42.25 ,$42.37 ,$41.31 
3/13/2019,$42.16 ,76144640,$41.01 ,$42.45 ,$40.93 
3/12/2019,$40.63 ,57645640,$40.57 ,$41.10 ,$39.80 
3/11/2019,$40.29 ,85172680,$37.90 ,$40.52 ,$37.42 
3/8/2019,$37.66 ,40830440,$36.42 ,$37.77 ,$36.20 
3/7/2019,$37.32 ,44563200,$37.78 ,$37.87 ,$36.85 
3/6/2019,$38.01 ,37291988,$39.04 ,$39.13 ,$37.99 
3/5/2019,$39.13 ,36202300,$39.04 ,$39.51 ,$38.49 
3/4/2019,$39.20 ,40905000,$39.50 ,$39.73 ,$38.63 
3/1/2019,$39.11 ,34449160,$39.07 ,$39.54 ,$38.48 
2/28/2019,$38.57 ,32393096,$38.75 ,$38.98 ,$38.34 
2/27/2019,$38.85 ,49974080,$39.13 ,$39.40 ,$38.28 
2/26/2019,$39.28 ,48759680,$39.63 ,$40.19 ,$38.94 
2/25/2019,$39.67 ,64970280,$40.64 ,$41.32 ,$39.59 
2/22/2019,$39.80 ,40043680,$39.47 ,$39.99 ,$39.33 
2/21/2019,$38.94 ,43574640,$39.77 ,$40.01 ,$38.80 
2/20/2019,$39.64 ,52912760,$39.46 ,$40.32 ,$39.34 
2/19/2019,$39.16 ,55079640,$39.23 ,$39.97 ,$39.04 
2/15/2019,$39.34 ,151518680,$40.74 ,$40.97 ,$39.11 
2/14/2019,$38.63 ,77967640,$38.21 ,$38.92 ,$37.78 
2/13/2019,$38.22 ,60259640,$38.09 ,$38.96 ,$37.95 
2/12/2019,$37.79 ,58876800,$37 ,$37.95 ,$36.86 
2/11/2019,$36.61 ,49320320,$36.60 ,$37.15 ,$36.13 
2/8/2019,$37.04 ,46009960,$36.18 ,$37.15 ,$36.03 
2/7/2019,$36.86 ,63580200,$37.78 ,$37.81 ,$36.42 
2/6/2019,$38.25 ,70174080,$37.82 ,$38.90 ,$37.77 
2/5/2019,$37.49 ,54123160,$37.42 ,$37.86 ,$37.08 
2/4/2019,$37.30 ,52710480,$36.34 ,$37.67 ,$36.12 
